cycle_id,mode,actuator,total_latency_ns,processing_time_ns,lock_wait_ns,deadline_met,lateness_ns
0,baseline,,20604800,100,800,true,0
0,baseline,Stabilizer,34500,200,100,true,0
0,baseline,Gripper,36200,0,0,true,0
0,baseline,Motor,37200,100,100,true,0
1,baseline,,16885600,300,1300,true,0
2,baseline,,2500,700,400,true,0
1,baseline,Stabilizer,37500,200,100,true,0
2,baseline,Stabilizer,24600,0,100,true,0
1,baseline,Gripper,41100,100,0,true,0
2,baseline,Gripper,28000,100,100,true,0
1,baseline,Motor,44000,100,0,true,0
2,baseline,Motor,30800,100,100,true,0
3,baseline,,16526100,1400,900,true,0
4,baseline,,6800,4600,400,true,0
3,baseline,Stabilizer,35600,200,100,true,0
4,baseline,Stabilizer,24800,100,0,true,0
3,baseline,Gripper,38100,100,100,true,0
4,baseline,Gripper,27200,100,100,true,0
3,baseline,Motor,40000,100,100,true,0
4,baseline,Motor,29100,0,0,true,0
5,baseline,,16659500,1200,1100,true,0
5,baseline,Stabilizer,34100,300,100,true,0
5,baseline,Gripper,36600,100,100,true,0
5,baseline,Motor,38300,100,100,true,0
6,baseline,,17075000,1700,1400,true,0
7,baseline,,2800,100,500,true,0
6,baseline,Stabilizer,58800,400,100,true,0
7,baseline,Stabilizer,43800,100,100,true,0
6,baseline,Gripper,63700,100,100,true,0
7,baseline,Gripper,48300,100,100,true,0
6,baseline,Motor,67400,100,100,true,0
7,baseline,Motor,51900,100,100,true,0
8,baseline,,16757900,1300,1100,true,0
9,baseline,,1900,100,400,true,0
8,baseline,Stabilizer,43100,300,100,true,0
9,baseline,Stabilizer,31900,100,0,true,0
8,baseline,Gripper,46900,100,100,true,0
9,baseline,Gripper,35300,100,100,true,0
8,baseline,Motor,49700,100,100,true,0
9,baseline,Motor,56500,100,100,true,0
10,baseline,,8046400,1700,1500,true,0
10,baseline,Stabilizer,49600,300,200,true,0
10,baseline,Gripper,56700,100,100,true,0
10,baseline,Motor,58300,100,100,true,0
11,baseline,,9583900,1200,1100,true,0
11,baseline,Stabilizer,30300,200,100,true,0
11,baseline,Gripper,33000,100,100,true,0
11,baseline,Motor,34700,100,0,true,0
12,baseline,,16695200,1400,1300,true,0
12,baseline,Stabilizer,33900,300,100,true,0
12,baseline,Gripper,37000,100,100,true,0
12,baseline,Motor,39000,200,0,true,0
13,baseline,,15792800,1100,1000,true,0
14,baseline,,1900,100,300,true,0
13,baseline,Stabilizer,272800,300,100,true,0
14,baseline,Stabilizer,265800,100,100,true,0
13,baseline,Motor,280900,100,100,true,0
14,baseline,Motor,269500,100,100,true,0
13,baseline,Gripper,299800,300,100,true,0
14,baseline,Gripper,293100,100,0,true,0
15,baseline,,8952000,1200,1200,true,0
15,baseline,Stabilizer,35200,200,100,true,0
15,baseline,Gripper,37500,100,100,true,0
15,baseline,Motor,39100,100,0,true,0
16,baseline,,7950800,1000,900,true,0
16,baseline,Stabilizer,80300,300,100,true,0
16,baseline,Gripper,83200,100,100,true,0
16,baseline,Motor,84900,100,100,true,0
