cycle_id,mode,actuator,total_latency_ns,processing_time_ns,lock_wait_ns,deadline_met,lateness_ns
0,baseline,Gripper,1087600,600,2100,true,0
0,baseline,Motor,1103600,300,600,true,0
0,baseline,,547300,547300,300,false,347300
0,baseline,Stabilizer,1229300,500,1800,true,0
1,baseline,,10492000,492000,100,false,292000
1,baseline,Stabilizer,270200,3300,5300,true,0
1,baseline,Gripper,312200,400,3600,true,0
1,baseline,Motor,431100,300,2700,true,0
2,baseline,,20623100,623100,200,false,423100
2,baseline,Motor,461500,500,6600,true,0
2,baseline,Gripper,490900,200,1600,true,0
2,baseline,Stabilizer,509000,300,3000,true,0
3,baseline,Gripper,97200,300,2700,true,0
3,baseline,,30724500,724500,100,false,524500
3,baseline,Stabilizer,238600,300,1800,true,0
3,baseline,Motor,240100,200,2100,true,0
4,baseline,,40324600,324600,100,false,124600
4,baseline,Gripper,177200,300,2400,true,0
4,baseline,Motor,234000,200,2000,true,0
4,baseline,Stabilizer,235000,200,2100,true,0
5,baseline,,50421200,421200,100,false,221200
5,baseline,Motor,133100,400,3000,true,0
5,baseline,Stabilizer,133500,400,4600,true,0
5,baseline,Gripper,188700,200,2300,true,0
6,baseline,,60482500,482500,100,false,282500
6,baseline,Motor,137900,300,1300,true,0
6,baseline,Gripper,152900,400,4000,true,0
6,baseline,Stabilizer,157000,200,2200,true,0
7,baseline,,70509400,509400,2000,false,309400
7,baseline,Gripper,145400,200,1300,true,0
7,baseline,Motor,382400,600,6600,true,0
7,baseline,Stabilizer,389600,500,10200,true,0
8,baseline,,80536900,536900,0,false,336900
8,baseline,Gripper,305100,10300,2000,true,0
8,baseline,Stabilizer,435300,200,1800,true,0
8,baseline,Motor,442700,300,3200,true,0
9,baseline,,90312000,312000,0,false,112000
9,baseline,Gripper,236500,100,1500,true,0
9,baseline,Motor,327700,200,2100,true,0
9,baseline,Stabilizer,330700,400,2700,true,0
10,baseline,,100588100,588100,100,false,388100
10,baseline,Motor,95100,300,3500,true,0
10,baseline,Gripper,118800,200,800,true,0
10,baseline,Stabilizer,167500,200,1800,true,0
11,baseline,,110425400,425400,0,false,225400
11,baseline,Gripper,314900,400,1900,true,0
11,baseline,Motor,407300,300,2100,true,0
11,baseline,Stabilizer,413800,400,3600,true,0
12,baseline,,120486600,486600,100,false,286600
12,baseline,Gripper,318800,300,3500,true,0
12,baseline,Stabilizer,470500,600,5600,true,0
12,baseline,Motor,526700,400,4000,true,0
13,baseline,,130672400,672400,100,false,472400
13,baseline,Gripper,271900,300,1500,true,0
13,baseline,Motor,347600,200,2600,true,0
13,baseline,Stabilizer,353600,400,3300,true,0
14,baseline,,140812100,812100,0,false,612100
14,baseline,Gripper,242300,400,1700,true,0
14,baseline,Stabilizer,350200,200,1900,true,0
14,baseline,Motor,353000,300,2600,true,0
15,baseline,,150381600,381600,100,false,181600
15,baseline,Stabilizer,338100,300,3200,true,0
15,baseline,Motor,414000,300,3200,true,0
15,baseline,Gripper,415000,200,3200,true,0
16,baseline,,160637200,637200,100,false,437200
16,baseline,Gripper,181300,400,2700,true,0
16,baseline,Motor,323800,300,3100,true,0
16,baseline,Stabilizer,329600,500,4600,true,0
17,baseline,,170553200,553200,100,false,353200
17,baseline,Gripper,532700,900,5600,true,0
17,baseline,Motor,611200,400,7900,true,0
17,baseline,Stabilizer,618700,500,15300,true,0
18,baseline,,180526300,526300,0,false,326300
18,baseline,Gripper,298700,300,2400,true,0
18,baseline,Motor,328100,200,5900,true,0
18,baseline,Stabilizer,369900,200,1900,true,0
19,baseline,,190396900,396900,100,false,196900
19,baseline,Gripper,293700,31200,1300,true,0
19,baseline,Motor,418100,47800,1200,true,0
19,baseline,Stabilizer,532100,134800,1200,true,0
20,baseline,,200152300,152300,100,true,0
20,baseline,Motor,165500,200,2400,true,0
20,baseline,Gripper,175300,400,2600,true,0
20,baseline,Stabilizer,297400,200,2300,true,0
21,baseline,,210612800,612800,100,false,412800
21,baseline,Gripper,253500,300,2500,true,0
21,baseline,Motor,305800,300,2800,true,0
21,baseline,Stabilizer,306600,200,3600,true,0
22,baseline,Gripper,99300,700,6300,true,0
22,baseline,Motor,106700,600,6400,true,0
22,baseline,Stabilizer,110700,500,4600,true,0
22,baseline,,220275500,275500,400,false,75500
23,baseline,,230409600,409600,100,false,209600
23,baseline,Motor,84300,3900,800,true,0
23,baseline,Stabilizer,93500,300,2100,true,0
23,baseline,Gripper,101500,300,2600,true,0
24,baseline,,240277700,277700,0,false,77700
24,baseline,Stabilizer,174400,100,1600,true,0
24,baseline,Gripper,272700,200,1900,true,0
24,baseline,Motor,322900,200,20600,true,0
25,baseline,Stabilizer,96200,400,2500,true,0
25,baseline,,250369000,369000,100,false,169000
25,baseline,Gripper,126600,300,600,true,0
25,baseline,Motor,139300,200,2400,true,0
26,baseline,,260677800,677800,0,false,477800
26,baseline,Gripper,168900,300,3600,true,0
26,baseline,Motor,208300,200,6000,true,0
26,baseline,Stabilizer,369300,100,1400,true,0
27,baseline,Motor,90100,200,3500,true,0
27,baseline,Stabilizer,91400,500,3400,true,0
27,baseline,,270460000,460000,100,false,260000
27,baseline,Gripper,209200,200,2200,true,0
28,baseline,,280554200,554200,0,false,354200
28,baseline,Motor,139100,200,1900,true,0
28,baseline,Stabilizer,145400,200,2000,true,0
28,baseline,Gripper,152000,300,3200,true,0
29,baseline,,290426000,426000,400,false,226000
29,baseline,Gripper,176600,200,2800,true,0
29,baseline,Stabilizer,195800,100,700,true,0
29,baseline,Motor,409700,200,2400,true,0
30,baseline,Gripper,69000,300,2500,true,0
30,baseline,,300269700,269700,100,false,69700
30,baseline,Motor,79600,200,900,true,0
30,baseline,Stabilizer,88800,200,2300,true,0
31,baseline,,310587600,587600,100,false,387600
31,baseline,Stabilizer,149800,300,2500,true,0
31,baseline,Gripper,288100,200,1600,true,0
31,baseline,Motor,351700,300,2300,true,0
32,baseline,,320585200,585200,100,false,385200
32,baseline,Motor,103500,300,3200,true,0
32,baseline,Gripper,108600,400,3400,true,0
32,baseline,Stabilizer,115600,200,700,true,0
33,baseline,,330332300,332300,200,false,132300
33,baseline,Gripper,327500,200,1600,true,0
33,baseline,Motor,351300,200,2700,true,0
33,baseline,Stabilizer,402000,100,1500,true,0
34,baseline,Gripper,105900,200,3200,true,0
34,baseline,Motor,115500,300,3000,true,0
34,baseline,,340903800,903800,300,false,703800
34,baseline,Stabilizer,172800,100,1000,true,0
35,baseline,,350672500,672500,100,false,472500
35,baseline,Gripper,180400,500,3400,true,0
35,baseline,Motor,193200,100,1000,true,0
35,baseline,Stabilizer,203700,200,700,true,0
36,baseline,,360406500,406500,0,false,206500
36,baseline,Gripper,284600,200,1700,true,0
36,baseline,Motor,388100,100,1600,true,0
36,baseline,Stabilizer,399600,300,3500,true,0
37,baseline,,370822000,822000,100,false,622000
37,baseline,Stabilizer,193300,400,2900,true,0
37,baseline,Gripper,353800,500,5100,true,0
37,baseline,Motor,391200,500,4700,true,0
38,baseline,,380592500,592500,100,false,392500
38,baseline,Gripper,86400,100,400,true,0
38,baseline,Motor,110500,300,5700,true,0
38,baseline,Stabilizer,123800,200,500,true,0
39,baseline,,390297800,297800,100,false,97800
39,baseline,Gripper,296400,19500,1300,true,0
39,baseline,Motor,400000,46600,1400,true,0
39,baseline,Stabilizer,518000,176900,1100,true,0
40,baseline,Gripper,283100,900,9200,true,0
40,baseline,,400468600,468600,700,false,268600
40,baseline,Motor,572300,700,2000,true,0
40,baseline,Stabilizer,632800,200,900,true,0
41,baseline,,410483300,483300,100,false,283300
41,baseline,Stabilizer,325200,300,1500,true,0
41,baseline,Gripper,404800,200,1700,true,0
41,baseline,Motor,516900,200,1500,true,0
42,baseline,,420351800,351800,400,false,151800
42,baseline,Motor,280700,400,2300,true,0
42,baseline,Stabilizer,304900,100,500,true,0
42,baseline,Gripper,349200,200,5000,true,0
43,baseline,,430818100,818100,100,false,618100
43,baseline,Gripper,63900,300,8700,true,0
43,baseline,Stabilizer,82500,100,900,true,0
43,baseline,Motor,85700,200,29600,true,0
44,baseline,,440545200,545200,100,false,345200
44,baseline,Motor,125400,4400,900,true,0
44,baseline,Gripper,299600,1600,4200,true,0
44,baseline,Stabilizer,307900,200,2400,true,0
45,baseline,,450557000,557000,100,false,357000
45,baseline,Stabilizer,100900,300,1700,true,0
45,baseline,Gripper,101700,200,1700,true,0
45,baseline,Motor,204300,100,1800,true,0
46,baseline,,460406300,406300,100,false,206300
46,baseline,Motor,135300,200,1500,true,0
46,baseline,Stabilizer,148100,100,500,true,0
46,baseline,Gripper,223000,200,1700,true,0
47,baseline,Gripper,112600,400,3200,true,0
47,baseline,Motor,125000,100,600,true,0
47,baseline,Stabilizer,134400,100,800,true,0
47,baseline,,470650900,650900,100,false,450900
48,baseline,,480422200,422200,0,false,222200
48,baseline,Gripper,75900,200,2500,true,0
48,baseline,Motor,77000,100,500,true,0
48,baseline,Stabilizer,87900,100,500,true,0
49,baseline,Gripper,59300,300,4300,true,0
49,baseline,,490863800,863800,200,false,663800
49,baseline,Motor,105800,200,2400,true,0
49,baseline,Stabilizer,119000,100,600,true,0
50,baseline,,500561500,561500,100,false,361500
50,baseline,Gripper,124000,500,3400,true,0
50,baseline,Motor,155600,400,3700,true,0
50,baseline,Stabilizer,157700,300,1300,true,0
51,baseline,,510388100,388100,100,false,188100
51,baseline,Stabilizer,159000,200,1500,true,0
51,baseline,Gripper,233200,200,1600,true,0
51,baseline,Motor,340300,300,2400,true,0
52,baseline,,520727400,727400,100,false,527400
52,baseline,Stabilizer,110400,100,1300,true,0
52,baseline,Gripper,205600,200,1300,true,0
52,baseline,Motor,245600,900,6000,true,0
53,baseline,,530784100,784100,100,false,584100
53,baseline,Stabilizer,116800,300,1400,true,0
53,baseline,Gripper,282600,200,1700,true,0
53,baseline,Motor,327000,200,1500,true,0
54,baseline,,540735900,735900,100,false,535900
54,baseline,Motor,47700,300,2800,true,0
54,baseline,Stabilizer,49500,300,1700,true,0
54,baseline,Gripper,57400,100,500,true,0
55,baseline,,550076500,76500,100,true,0
55,baseline,Motor,240600,200,2200,true,0
55,baseline,Stabilizer,265700,200,700,true,0
55,baseline,Gripper,323400,200,2900,true,0
56,baseline,,560611200,611200,100,false,411200
56,baseline,Gripper,115200,100,1600,true,0
56,baseline,Stabilizer,119700,300,2300,true,0
56,baseline,Motor,214300,100,1400,true,0
57,baseline,,570550000,550000,100,false,350000
57,baseline,Gripper,122500,300,1800,true,0
57,baseline,Stabilizer,125300,200,2100,true,0
57,baseline,Motor,230900,200,1400,true,0
58,baseline,,580324200,324200,300,false,124200
58,baseline,Gripper,241300,300,1300,true,0
58,baseline,Stabilizer,256400,100,1100,true,0
58,baseline,Motor,375600,300,6100,true,0
59,baseline,,590438300,438300,0,false,238300
59,baseline,Stabilizer,190200,18500,1000,true,0
59,baseline,Gripper,318500,27600,900,true,0
59,baseline,Motor,396700,18500,1100,true,0
60,baseline,,600285100,285100,100,false,85100
60,baseline,Gripper,215700,500,3800,true,0
60,baseline,Motor,234000,100,1000,true,0
60,baseline,Stabilizer,245600,200,700,true,0
61,baseline,,610261700,261700,100,false,61700
